SBD, Toan, Van, Ly, Hoa, Sinh, Anh
19009189,7.4,7,5,4.25,4.25,5.2
19009192,8.8,8,7.25,7.5,6.75,7.6
19009194,8.6,7.25,7.25,6.75,3,4.8
19009195,9,7,9,8.75,4.25,8
19009200,8,6,8,5.75,4.5,5
19009202,8.4,6,8.5,8.25,3.75,5.2
19009207,7.8,6.25,6.5,6.5,5,3.6
19009208,8.2,6,8,7,2.75,5.6
19009209,8.8,5.25,7.75,7.5,2.5,4.4
19009210,6.8,6,6.75,2.5,5,6.4
19009212,7.6,8.5,8.5,8,4.5,8.6
19009214,8.8,7,9.25,3.5,3.75,8.6
19009215,8.8,6.5,6,6.75,3,4.2
19009219,8.8,7,8.25,9.25,5.75,5
19009225,8.4,6.5,7.5,6.75,4,8.6
19009227,9,7.5,7.25,4.25,5,8.8
19009228,9,6,7.75,6.5,4.5,4.8
19009230,8.4,5.75,7.75,5.5,4.75,7.6
19009231,7.2,6,5.75,6,4.5,4.6
19009234,7.2,4.5,5.75,6.75,5.25,4.8
19009235,9.4,6.75,8.5,8.5,5.5,5.8
19009237,8.6,6.75,8.25,8.75,2.5,3.4
19009238,8,6.5,7.25,7,3.5,5.4
19009240,7.8,6.75,8,8.25,4.5,4.8
19009241,8.8,6.5,7.5,8,4.75,3
19009244,9.2,6.75,7.5,8.5,6.5,9.6
19009245,8.8,6.25,8.25,8,3.75,5.8
19009249,8.6,5.75,8.5,7.75,5.5,6.8
19009251,8.2,5.75,8.25,7.25,3.5,3.4
19009252,8.6,4.75,7.75,2.25,3.25,8.4
19009253,8.8,6,8,4,5.25,9
19009257,7,6,6.75,7.75,4.5,5.2
19009259,8.6,6.75,8.5,8.25,5,8.6
19009264,8.8,6.75,8.75,8.75,5,5
19009269,8,6.75,5.25,6.5,4.25,6.2
19009272,8.2,6.75,8,4.75,3.25,6.4
19009274,8.2,5,7.25,7.25,3.25,7.4
19009277,8.4,5.5,7.75,7.5,3.75,5.4
19009280,8,4.5,7.75,4.5,4.25,9.2
19009285,8.8,6.25,8.25,8.75,4,8.2
19009286,7.6,5,7,6.5,4.5,6.6
19009289,8,5.75,8,7.5,5,4.4
19009290,7.6,5,6.5,2.5,3.75,5
19009293,8.4,6,7.75,8.75,2.75,4.2
19009302,8.2,7,7.75,4.75,3.5,8.4
19009307,8.2,7.5,8.5,8.75,4.5,7.2
19009310,7.8,6.75,7.25,8,6,5.8
19009312,8.8,6,8.25,8.5,3.75,5.2
19009314,8.8,3.25,7.5,8.5,2.5,6.4
19009318,9.2,7,8.5,9.75,5.25,6.6
19009321,8,7.5,7.75,7.5,2.5,7
19009322,9,7.75,8.5,6,3.5,9
19009323,8.6,6.25,7.5,6.5,4,4.4
19009326,8.2,7,7.25,6.75,3.75,8
19009328,8.4,6.75,8.25,3.25,3.75,9.2
19009334,8.6,6.75,8.25,7.75,4.25,4.6
19009335,8.4,5,7.75,6.75,3.75,4.6
19009340,8.8,5.75,8.5,8.25,3.5,5.2
19009345,8,7,7.75,6.25,4.75,3.8
19009346,8.4,6.75,7.5,8,2.5,4.8
19009353,9.8,5.5,9.5,8.75,4.5,6.2
19009358,9,7.5,8.25,6,5.75,8.8
19009359,8,8.25,8,3.75,5.5,9.6
19009362,8.4,7,7.75,3.75,4.25,9.4
19009365,8,5,8,8,3.5,6.2
19009369,9,7,8.25,8.75,4.5,9
19009373,9.6,5.5,9.5,9.25,5.5,6
19009376,9,7.25,8.75,8.5,1.75,6.8
19009380,8.6,6,7.75,7.5,4.75,5
19009381,7.8,4.5,5.25,6.5,5.25,4.2
19009383,8.2,4.75,7.25,8.25,3.25,2.4
19009389,9,7,7,6,4,7
19009395,8.6,6,6.5,7.5,6.25,6
19009400,8,7.5,7.5,5.25,3.75,6.4
19009404,7.6,6.25,6.75,7.75,6,3.6
19009407,8.8,4.75,7.5,7.25,4,3.4
19009410,8.4,7,7,8,3.75,4.6
19009411,8.6,5.75,8.5,8.25,6.5,6.6
19009413,8.2,5.75,8,4.25,4.25,9.4
19009414,8.8,6,8.5,8.25,4.25,8
19009420,8,6.75,8.25,7.25,3,5.8
19009421,6.8,6.5,7,6,4.25,3.6
19009425,8.8,6.5,9,8.75,5,8.6
19009426,8.8,6.25,8.25,7.5,5.75,7.6
19009427,7.4,6.5,4.25,6,2.25,4.4
19009428,7.8,6.25,7.75,6.5,2.75,4.6
19009429,8.6,7.25,7.5,7.25,2.75,4.4
19009432,8.2,6.5,8.75,8,4.5,4
19009440,7.6,6.25,7.25,6,6.5,8.6
19009445,8.6,9,7.25,7.75,4.25,8.2
19009450,8.4,7,6,6.5,4.75,5
19009455,8.6,6.5,8.5,8,5.25,6
19009456,8.4,7.75,8.25,7.25,3,5.2
19009458,8.2,6.5,7.75,8.25,4.75,4
19009462,8.2,6.5,7.75,8.5,4.5,6.6
19009463,8.2,7.5,8.75,7.5,4.5,7.4
19009464,8,6.75,5.25,8.25,6.75,4.6
19009470,9,7,8.25,8.5,4.25,5.6
19009471,8.2,5,7.25,8,3.5,4
19009472,7.8,6.5,8,3,6,8.2
19009474,8.6,5,4,8.5,4.75,8.8
19009475,6.8,6,6,4,5.25,8.8
19009479,7.8,6.75,5.25,5.25,3,7.6
19009481,7.2,6,6.25,3.25,5,6.2
19009484,9.4,5.5,7.75,8,3.75,6.8
19009486,6.6,5.25,7.25,5.25,4.75,5.4
19009488,8.8,5.5,6,6.25,5,7.6
19009489,8.2,5.75,6.75,8,3.75,6.2
19009500,8.4,8,6.75,4.5,5,8.8
19009503,7.6,7.5,7.25,4.25,4.25,7.2
19009504,9,7.75,8.25,8,6.25,7.8
19009509,8.8,7.5,7.75,7.5,4,4.6
19009510,6.8,6,5,5.25,4.5,6.8
19009513,8.4,5.75,7.75,8.75,5.25,5
19009516,8.8,6,8,8.5,6.75,4.8
19009519,9.4,6.25,7.5,9,3.75,3.8
19009520,7.8,6.75,8.25,8.5,4.75,7.8
19009522,9,7,7.5,8.5,3.25,4
19009523,9,7.75,9.5,9,4,5.2
19009526,8,7,7.5,7.25,4.5,5.4
19009530,9.2,7.25,8,8.25,4,5.8
19009532,7.8,5,6.75,4.75,7.25,4.4
19009534,8.2,5.25,8,5.25,6.25,7.6
19009536,8,6.25,5.75,5,3.25,3.2
19009538,8.4,7,8,7.75,3.5,3
19009547,7.4,6.5,7.75,6.5,3.25,3
19009548,8,6.5,7.25,8.25,5,5.4
19009550,7.8,5.75,8.25,6.75,6.5,5
19009553,7.2,5,6.25,7.25,5,2.4
19009555,7.8,4.75,4.75,5,3,5
19009558,9.2,3.5,7.5,8,3.5,3
19009560,7.8,5.25,5.5,6.25,3.75,3.4
19009561,8.4,6,6.75,8,3.5,4.6
19009572,7.6,7.25,7.5,7,5.5,7.4
19009578,8.4,5,7.5,7.75,5.25,6
19009579,8.6,6.5,8.5,8.75,4.75,5.6
19009584,8.2,5,7,6,3.5,7.4
19009586,7.4,7,8,5.25,2.75,3.4
19009587,9.4,7,7.25,10,9,8
19009600,8.6,5.75,7.75,7.5,5,8
19009604,8.4,5.75,8.25,8.5,4,3.2
19009605,8.4,7,7.5,7.75,4,7.6
19009610,9.2,6.5,9,8.25,1.75,5
19009611,8.2,6.75,7,5,4,2.8
19009613,8,5.75,8.25,8.5,7,6.4
19009614,9.6,7,8.5,4.75,3.25,9.6
19009616,8.4,4.5,7.5,5.75,4,9.2
19009617,8.8,5.25,7.5,7.5,4.75,4.6
19009618,8.6,6,7.75,8.25,4.5,4.8
19009619,8.6,6.75,7.75,4.5,4.25,8.8
19009621,8,6,7.5,7.5,3.75,5.2
19009634,9,5.5,9,8.75,4.25,5
19009638,5.4,5.25,4,5.75,4.75,6.2
19009639,8.4,6.75,7.25,3.75,3.75,7
19009641,8.8,6.75,7.5,8.5,6.25,6.2
19009646,8.6,3.5,7.75,8,5.75,6.8
19009653,8.6,8,8.75,4.75,4.75,9.4
19009656,7.6,5.25,5.75,6.25,5.75,8.6
19009657,8.6,6,6.5,5.5,5.25,8.8
19009659,8.4,6.5,8.5,7.5,3,5.6
19009660,8.8,6.75,8.75,8.75,5.5,9
19009665,7.8,6.5,6.75,5.75,3,7
19009667,9.4,6.75,8.25,7.25,4,6.2
19009669,9,7,7.5,5.25,3.5,8.2
19009671,9.2,6.25,8.25,8.5,7,7.8
19009677,7.8,5.25,7.5,8.25,4.25,5
19009678,8.6,6.25,7.75,7.5,3.75,4
19009683,9.4,6,9,8.25,3.25,6
19009685,7.6,6,6,4,4.25,8.2
19009686,8.2,4,6,5.75,4.5,6.2
19009691,9,6,8.5,4.5,5.25,9.2
19009694,8.4,6,7.25,7.75,4.5,5.8
19009695,9.2,6.5,7.75,8.5,6.75,8
19009697,7.8,7.5,7,3.5,3.75,7
19009699,8.2,6.5,7.25,7,4,4.4
19009701,9,6.25,8,8.5,4.5,6.8
19009704,8.6,6.75,8.25,8.75,4.75,4.4
19009707,8.6,7.75,7.5,7.25,2.75,6.4
19009711,8.6,5.25,7,8,3.25,5.6
19009713,8.6,6.75,8,7.5,4.25,7.8
19009718,9,8,8.5,8,1.5,6.4
19009726,8.8,8,7,9,9.25,8.8
19009731,7.6,7,7.5,8.25,5.75,8.2
19009734,7.6,8,6,7,7,6.6
19009736,8.6,8,8.25,8.5,5,9.4
19009741,8.6,6.5,8,7,4.25,7.8
19009743,9.6,9,8.75,8.25,5.75,8.4
19009747,8.6,4.25,7,5.75,5.5,9.6
19009748,8.8,8.25,7.5,4.5,7.25,9.8
19009755,8.4,7.5,6.25,4,4.25,7.2
19009756,7.8,8.75,6.25,5,4.5,9.4
19009759,8.4,8.5,8.25,8.25,5.75,7.4
19009762,8.2,7.75,6.5,7.5,7.75,4.8
19009762,8.2,7.75,6.5,7.5,7.75,4.8
19009764,8.8,9,8.5,7.75,6.25,7.6
19009765,8,9,8,8.5,7.5,6.4
19009766,8.4,7.5,7.75,8,8.5,5.2
19009771,9.2,8.75,9,8.75,7.25,7.2
19009772,9,8,8.75,5.25,5,8.4
19009773,7.6,8.25,7,6.25,4.25,6
19009776,8.6,8.25,7.25,6.5,5,3.8
19009779,7.6,8.5,6.25,7,6,4
19009780,9.2,7.5,8,4,6,9.4
19009781,8.8,8.75,8,4.75,8,8.8
19009784,8,7.75,6.25,5.5,6.75,6
19009786,7.8,8,8,7.75,6,8.2
19009791,8,7.75,6.25,4.25,5.5,6.4
19009792,8.8,8.25,9,9,6.25,8.8
19009796,9,8.75,7.75,8.5,6.5,6.2
19009797,9,8.25,8.25,8.25,6,7.6
19009798,8.6,7,6.25,6.5,4.75,7.8
19009800,8.4,7.5,7.5,7,4.5,6.2
19009807,8.8,7.25,8.5,8.25,7.25,8.8
19009813,7.8,8.25,8,7.5,4,8.6
19009814,8.8,7.75,7.25,4,3.25,8.2
19009815,9,7,8.5,8.25,4.25,5.6
19009824,7.6,8.25,6.75,7.75,4,5.8
19009825,8.8,8,8.5,8.75,4.75,6.4
19009827,9.6,7.5,6.25,8,8.75,7.6
19009829,8.4,6,7,4.25,4,6.6
19009830,8.6,7.5,7,6.5,4.25,5.4
19009831,5.6,6.25,5.5,6,5.5,5
19009832,8.6,6.25,8.25,8.25,4.5,5.6
19009833,8,7.25,8,5,3,8.2
19009834,8.2,6,7.75,8.75,6.5,6.4
19009835,7.4,5,5.5,7,3.75,3
19009836,8.6,6.75,6.25,6.5,3.75,3.6
19009843,7.8,6.25,5.25,6.5,4.5,7.2
19009845,7.2,6.75,5.25,8.25,7.75,7.4
19009846,8.6,7.25,7.75,7.25,4.75,7.2
19009848,8.6,6.5,9.25,8.5,5.25,8.8
19009849,7.6,6.75,8,7.25,4.75,8
19009850,8.6,6.75,8.25,8.5,6.25,6.4
19009851,7.8,6.25,6.75,8.25,5,4.6
19009853,8.4,5.75,7.25,7,4.75,7
19009854,8.4,7,9,7.75,6.25,9
19009855,8,7,8,7.5,7,9.4
19009856,8.4,7,7.5,7.5,4.5,6
19009858,8.4,6.5,7.25,4.25,6.75,9.4
19009861,8.2,4.75,4.5,7,7,6.2
19009862,8.2,7.25,7.5,6.25,7.75,6.8
19009867,8.4,8,7,7.5,7.5,4.8
19009871,8.6,8,7,8,5,9.2
19009874,8.8,7.5,8.25,7.25,7.5,5.8
19009875,8.8,7.75,4.75,8,9,6.6
19009876,8.8,7.75,8.25,9.5,7.5,7.4
19009879,9,7.75,6.5,8.75,9,7.2
19009880,7.4,7.5,7.75,3,5.75,8.2
19009882,8,8.5,7,9,7.25,9
19009885,8.4,6.5,6.75,6,5.5,4
19009887,8.4,7.75,7,3,3.75,8.6
19009890,8.2,6.75,8.25,6,7,7.4
19009891,8.8,7,8.25,7.75,5,7
19009898,8.2,5.75,7.5,7.25,5.5,5.6
19009899,9,7,8.25,8.5,5.5,6.8
19009900,7.6,6.25,7.5,7.5,5.25,8.8
19009902,8.6,6.25,8.5,7.5,4.75,4.2
19009904,9.2,5.5,8.25,8.25,5.5,6.4
19009907,8.2,7,7.5,7.25,3,6.2
19009908,9.4,7.25,7.25,8.75,6,8.2
19009909,8.4,4.5,8.5,7.5,4.75,4.2
19009911,8.8,8,8.5,8.75,5.75,6.8
19009912,7.6,6.5,5.25,5.25,4,6.4
19009913,8.6,7.75,8.25,8.75,3,7.4
19009920,8.8,6.25,6.25,6.75,5.75,7.2
19009923,8,6,7.75,5,4.5,8.2
19009924,8,6.5,6.75,6,3.75,5.2
19009925,8.2,6,7,8,4.5,6.8
19009927,8.6,6,8.5,4.75,5,8.8
19009929,8.8,8,8,8.75,5.25,7.4
19009931,9.2,7.75,7.75,8.75,7,8.4
19009935,8,8.75,6.75,7.5,7.75,6.8
19009938,7.2,5.75,8.25,6.75,5,6.8
19009942,9.4,8.25,8.25,5.75,6,9
19009944,8.4,7.75,8.25,7.5,8.25,6.2
19009947,8.6,7.75,8,6.25,3.75,8.8
19009948,8.4,8.25,6.75,7,5.75,5.4
19009952,7.8,5,4,5.5,3.5,2.8
19009953,7.2,6.25,5.25,6.5,5.75,4.6
19009954,9,7,5,7.25,5.25,8
19009955,8.2,6.5,4.5,7.75,8.75,6.8
19009957,8.2,5.5,7.75,3.25,4.5,8.4
19009958,7.4,6.75,4.5,3.75,6.75,5.4
19009964,8.8,6.75,7.5,8.75,4.25,9
19009965,8,6.5,7.5,7.75,5.25,2.8
19009966,9.8,7.75,8,9,6.75,7.2
19009970,9.2,8.25,8,7.75,6.25,5.6
19009971,8.6,6.75,6.75,5.5,7.25,3.8
19009972,8.6,6,6,2,2.75,9
19009975,9,8.75,8.5,8.75,6.5,8.8
19009977,8.4,7.75,6,6.5,2.75,6.2
19009979,7,7.5,6.5,2.5,5,5.2
19009980,9,7.5,7.75,2.25,3.5,8.8
19009981,9.2,8.5,8.5,7,6.5,10
19009984,8.2,8.25,8.25,8.5,6,4.6
19009985,8.6,7.75,7.75,8.25,5,6.6
19009988,7.8,8,6.25,4.25,4.75,6.6
19009991,9.2,8.25,7.5,9,4.75,8.2
19009994,8.8,6.5,8,8.5,3.5,6
19009995,9.4,8.25,9,8,6.5,8.8
19009998,9.2,7.75,7.5,7.5,6,4.2
19010000,7.6,7.25,6.75,8.5,6.25,6.2
19010001,6.8,7,5.25,7.5,7.25,4.4
19010002,9,7.75,8,9,5.75,5.8
19010003,8.6,7.25,8.75,9.25,5.25,8.4
19010004,8.2,7,7.25,7,4.5,5
19010005,8.8,6.25,8.25,8.75,5.25,5.8
19010007,8.4,7.75,7.75,8,5,7.4
19010011,8.6,7.25,8.75,8.75,5,6
19010019,8.8,8.25,8,9,4.5,7.6
19010020,7.6,7.25,6.25,5,4.25,7.4
19010021,7.6,7.5,3.75,5.25,4,4
19010022,8.4,6.5,7.5,7.25,6,3.8
19010023,8.8,7,8.75,8.25,6,5.4
19010024,9,7.5,7.25,8.5,5.25,6.8
19010027,8,7.5,7.75,8,5,6.6
19010028,8.6,6.75,7.5,5.25,5.75,5.4
19010033,8.6,8.5,7.5,5,5.75,8.8
19010033,8.6,8.5,7.5,5,5.75,8.8
19010035,8.2,7.25,8.5,7.75,4,8.4
19010036,8,7.5,7,4.5,6.25,8.8
19010037,8.2,7,7.25,7.5,5.5,7.6
19010038,7.8,6,7,7,5.75,4.8
19010039,7.6,6.25,5.75,6.75,3.25,7.6
19010041,8.2,6.5,6.25,6.75,3.25,6
19010043,8.4,7,7.5,9.25,3.5,5.8
19010044,8.2,7.5,7.25,7.5,4.25,5.8
19010045,8.6,7.5,8.25,7.5,5.5,4.8
19010046,9,7,8,6.25,5.75,8.2
19010048,8,7.25,6.75,4,7,6.6
19010049,8.8,6.75,8.25,8.25,7,6.4
19010051,8.6,6.5,7.75,8,8,7.8
19010052,8.6,7.25,8.75,8,7,8.4
19010053,8.2,7.75,8,7.5,6.5,8.6
19010054,9.2,6.25,8.5,5,4.5,9.4
19010055,9,6.25,8.75,5,4.25,9.6
19010057,8.4,8,5.25,6,4.75,9.4
19010065,7.6,8.5,7.5,6,5,8.2
19010067,8.4,7.75,7.5,5.75,5,5.8
19010068,8.6,6.5,6.75,7,6.25,6.4
19010071,8.6,8.25,8,6,6.25,6
19010072,8.2,8.75,7.25,8,7.5,5.4
19010074,8.8,7,8.75,9.5,5.75,9.6
19010081,8,8.25,7.75,7.5,4,5.2
19010082,8.6,8.75,8,7.75,8,8.6
19010084,8.8,7.5,7.75,8,8,7.6
19010094,8.4,8,7.25,5.25,5.5,9.4
19010097,9.2,8.5,9,9,7.75,7.8
19010101,8.6,6.75,8.5,7.25,6.5,5.8
19010103,8.6,7.75,8.25,8,6.25,7.8
19010104,7.6,7.25,5.25,6.5,4.5,3.4
19010106,8.8,6.5,7.5,7.5,5.25,7
19010107,9,6.25,8,8.5,5,9.4
19010108,9.2,5.75,7.5,8,4.25,5
19010109,8.8,6.5,7.75,6.25,6,9.6
19010111,8.2,8.5,7.5,7.75,7.25,8.2
19010114,9.4,8.75,7,8.75,9.25,9.6
19010117,9,9,7.25,8.25,4,9.6
19010121,8,7.75,8.5,8,4.75,7.4
19010126,8.8,9,8,8,5.25,9
19010128,8.2,8.5,7.5,8,6.75,9.4
19010131,8.8,6,7.5,7.75,9.25,9.4
19010132,8.6,8.75,7.5,8.5,6,8.4
19010133,8.4,8,7.5,8.5,5,7
19010137,8,7.5,6.75,5,3.25,8.8
19010138,8.2,6.75,8.75,8.75,4.5,8.8
19010139,8.2,7.5,7.25,6.25,3.75,5.2
19010140,5,7.25,6.25,6.25,2.75,8.4
19010143,8.2,8.25,6.5,6,4,2.4
19010145,9.2,9,8,8.25,8.75,7.6
19010148,8.6,6.5,9,8.75,6.25,7.6
19010149,7.6,6.75,7.25,6.75,6.5,5.8
19010150,8.8,8.25,7.5,6,6.25,7
19010151,7,7.25,5.25,4.5,3.5,4.6
19010152,9.2,6.75,9,3.5,6.75,9.2
19010153,8.2,7.75,8.25,5.5,5.5,8.8
19010154,8.8,8,8,8.5,3,6.2
19010155,7.2,8,5,5.75,5.5,6.6
19010157,9.2,8,9.25,8.25,9.25,8.4
19010159,8.2,7.75,8,8.5,9,7.4
19010160,7.8,8.25,7.5,8,5,7
19010161,7.6,8,7,6.75,6,8
19010163,7.8,8.25,6.25,6.25,4.75,6.2
19010165,9,8.5,7.25,9.5,9.75,7
19010167,8.8,7.75,7.75,4.75,4.25,8
19010168,8.8,7.75,9,9.25,6.75,9
19010169,8.6,8.5,7.25,8.75,8.25,8.8
19010170,8.4,8.25,8.5,8.25,7.5,5.6
19010177,9,8,9,7.75,6.5,4
19010186,8.8,7.5,7.75,7.75,7,2.6
19010187,7.2,7.25,8,6.75,6.5,5.6
19010189,8.4,8.5,7.75,7.75,7,8
19010193,9.2,8.5,7.75,7.25,5.25,8.8
19010194,8.2,8,6,6.25,5.25,5.2
19010198,8,7.25,5.5,8.25,7.5,7.2
19010200,8.2,7,8,7.75,5.75,7.2
19010206,8.2,7.5,8.25,7.25,7.25,6
19010209,7.6,6.75,7.5,6.5,6.75,5.4
19010213,8.6,8,8.5,8.25,5.5,3.6
19010214,7.4,8,7,6.5,6.75,7.2
19010215,8.2,6,5.75,4.5,4.75,6.2
19010216,8,6.75,7.5,7.5,4,3.8
19010217,9.2,5,8,8,5.75,8.4
19010219,8.2,7.75,7.75,6.75,4.5,7.2
19010222,8.2,8.75,8.25,5.25,5.75,7.8
19010224,9,6.75,7.75,7.25,5,5.8
19010226,8.8,7.25,7.75,7.25,5,9
19010227,8,8.75,6.75,7.25,5.75,9.4
19010231,7.4,5,7,7.75,5.5,5.8
19010232,8.4,6.5,7.5,6.5,5.25,9
19010238,7.4,5.5,8.25,6,4,9.2
19010240,8.6,7.5,8,8.25,5,6
19010241,8,7.75,8.5,8.25,6,7
19010242,7.8,7,7.25,6,3.25,9
19010244,6.6,6.75,4.5,6.25,5.5,8.6
19010246,8.8,8,8.25,8.5,6,7.2
19010248,7.8,8,5.75,7,6,6
19010249,8.2,7.25,6.5,7,6.25,7.4
19010250,6.4,6.5,5,2.75,2.5,4.4
19010252,7.8,7,6.25,7.75,4.75,6.8
19010255,9.2,7.25,7.25,8,8,7.2
19010258,7.4,7.5,5.25,7,5.25,5.2
19010259,9.2,7,7.75,8.25,7,6.6
19010260,8.4,6.75,6.25,6.25,4.75,5.4
19010261,8.2,6.75,7,6.25,4.5,4
19010262,7.8,6.5,4.5,4.5,4.25,3.8
19010265,7.6,6.75,7,5.25,4.5,7.4
19010266,8.8,7.5,8.25,8,5.75,3.6
19010271,8.8,8.5,8.25,9.25,4.5,6.4
19010276,8,7.75,7.75,5.25,4.75,8
19010277,8.2,7.5,6.25,6,4,4.2
19010282,8.8,8.25,7.5,8.25,7.5,8.2
19010286,9,5.5,9.25,8.75,3.5,6.2
19010287,8.4,5.75,8,4.75,5.5,9.4
19010288,8.6,7.25,7.75,3.5,5.75,9.2
19010289,7.2,7.5,8,4.25,2.5,9
19010290,8.8,4.75,7.25,7.5,4.5,6
19010291,7.6,7.5,7.75,6,5.25,9.4
19010293,8.8,7.5,8.5,8.25,7.25,9.4
19010294,8.8,7.25,8,9,6.25,5.2
19010295,9.2,7.25,8.25,9.25,9,9
19010296,8.4,8,7.75,6.25,6.75,9.6
19010300,8.4,7.5,7.5,5,5,9.8
19010305,8.4,8.5,8.25,8.75,6.25,9
19010312,8.8,8.25,7,6,6.75,9.6
19010314,6.6,8,4.5,4,4.25,2.6
19010315,9,7.75,9,9.25,4.75,5.8
19010317,8.6,8.25,8.25,7.75,5,6.4
19010320,7.8,6.5,6.5,5.75,4.25,5.8
19010321,8.8,7.5,8,7.25,6.25,4
19010326,7.6,6.5,6.75,3.5,4.25,8.4
19010328,8.8,7,8.5,7.25,6,5.8
19010331,8.2,7.5,8,8.75,6.25,6.2
19010339,8.6,7,8.75,7.5,6,7
19010344,7.6,7,4.5,2.5,4.5,4.8
19010350,7.2,7.5,6,7,5,5.2
19010351,8.2,8,7.5,7.25,6,6
19010354,8.6,7.5,6.5,5.75,4.5,8.6
19010359,9.4,7.5,8,8.5,8,8.8
19010362,8.6,7.5,8.25,8,5.75,5
19010365,8.8,6,7.25,7.5,5,3.6
19010366,8.6,7.5,8.25,8.25,5.5,3.4
19010368,8.4,7.25,8,7.75,5,6.2
19010370,8.4,7.25,7.75,7.75,4.75,4.2
19010373,8.4,7.5,6.75,8.75,7.25,4.2
19010376,7.6,7.75,7,7,5.5,7.6
19010377,9,8,7,7.5,7.75,8.2
19010378,9,8,9,8.5,6.25,9.2
19010379,8.8,7,8,8.5,6.25,8.6
19010380,8.4,8.25,6.75,7,4.25,6.6
19010385,8.4,6.5,6.5,5.5,5,8.2
19010387,7.8,7.75,7.75,6.75,6.75,7.6
19010388,8.2,7,6.25,7.5,5.25,7
19010390,8.8,6.5,5.5,7,7.5,4.8
19010394,8.2,5,5.75,7.25,3.5,4.4
19010396,8.4,7.5,7,4.25,7.25,8.8
19010398,7.8,6.25,7.25,7,3.25,4.8
19010399,8.8,6,7.5,8.5,9.5,7.6
19010401,8.4,7,5.25,8.5,9.5,6.8
19010402,8.2,6.5,8.5,8.75,6,7.4
19010403,7.4,7,4.75,5.25,3.25,8.2
19010408,7.8,6.5,6.5,5,3.75,3.4
19010410,9,7.5,9.25,5.25,6.5,10
19010411,7.8,7.5,7.5,7.5,6,8.6
19010412,8.2,7,7.75,8.5,6.25,8.2
19010414,8.2,6.25,7.5,5.75,5.5,8.2
19010416,8.6,7,8.75,2.5,3,9.2
19010419,8,6.25,6.5,3.25,5.5,9.4
19010421,8.2,8,8.25,8.25,5.75,7
19010422,9.4,7.25,7.5,8.5,5.25,8
19010423,8.2,6.5,7.25,7.25,5.25,5.8
19010426,9.6,8,9.5,9,5.25,7.4
19010429,8.4,7.75,7.25,8,6.5,7
19010431,7.8,6.5,6.5,7.5,5.5,5.6
19010437,8.6,6.75,8,9.5,4.5,7
19010438,7.8,7.75,4.75,6.75,6.25,4.2
19010440,8.2,6.5,7.5,5,7,9
19010441,8.2,7.5,8,5.5,5.25,9.6
19010442,9.4,7,8.25,8.5,3.25,4.6
19010443,8.8,6,8,7.75,7.25,9.2
19010444,7.4,6.75,6.25,7,3.5,3.2
19010445,9,6.75,8.5,8,5.5,5.4
19010446,7.4,4,6,5.75,5.5,2.6
19010448,8.6,7.5,7.25,7.25,5.75,7.6
19010452,8.2,5.5,7.5,7.75,3.75,3.6
19010457,9.2,7.5,8,3.5,5.25,9.2
19010463,8.2,5.25,6.75,7.75,4,8.2
19010464,7.8,5,7.25,5.5,4,9.2
19010465,8.6,7.75,8,6.25,5,9.8
19010466,8,6.75,8,7,5.25,8.6
19010468,8.2,6.5,7.75,6.5,4.25,6.8
19010469,8.6,7.5,5.5,5.5,5,8.8
19010471,8.2,5.75,7,6.75,3.5,5
19010474,8.2,7.25,6.25,6.75,6.25,6.2
19010475,9.2,6.75,6.75,8.25,5.25,7.4
19010478,7.6,7,8,6.75,5.5,4.6
19010482,8,7.5,7.75,6.75,3.75,4.4
19010487,7,7,7,5,4.5,6
19010489,8,7.75,7.5,8.25,5.25,6.2
19010490,7.6,7.5,5.25,6.5,4.5,4.6
19010491,8,7,4.5,7,5.25,4.2
19010496,8.2,5.5,6,7.25,3.75,2.6
19010498,7.8,6.5,7.5,4.75,3.5,4.2
19010499,7.6,7.75,4.5,6.25,3.75,2.6
19010502,8.4,8,7.75,8.25,5.5,4.6
19010503,8.6,6.25,6.25,5.75,4.25,6
19010504,8.6,7,7.75,7.75,4.75,5.6
19010506,9,6.25,7.25,8.75,4.75,5
19010508,6.8,6.5,5,5,2.75,3
19010510,8.2,6.75,6.25,7.5,6,7
19010514,8,6,7.5,8.5,7,3.8
19010515,8.6,6,8.25,7,3.75,5
19010516,9.2,6.75,6.5,6.25,3.5,3.8
19010518,8,8.25,6.5,6,4.75,7.8
19010522,8.6,8.25,8,6.75,8,8
19010524,7.6,6,7.5,5.5,4,7.6
19010532,9.2,7,7,4.75,2.5,5.2
19010533,6.8,4,7.75,5,4.75,9
19010537,7.8,6,8.25,6,4.5,4
19010550,9,7,8.25,7.75,6,5.2
19010557,6.8,4.5,5.5,5.25,4.75,6.8
19010558,9.2,8,8,6.5,5.75,9.6
19010559,7.6,7.75,6.5,7.75,3.5,2.4
19010568,8.2,5.5,6.75,7.75,4.25,4.8
19010570,8,5.5,7.25,8,4.25,4.4
19010577,8.8,7.25,8.75,7.75,5.5,7.6
19010579,8,6.25,7.5,7.5,4.5,5.6
19010581,8.4,6.5,6.75,8,7.75,4.2
19010582,7.8,7.25,6.5,6.5,4.25,4.6
19010586,8.2,8,7.75,7,6.5,6
19010590,8.4,7.75,7.75,7.75,7,5.6
19010591,8.8,6.5,7,7,6.5,5.6
19010592,9.2,8.5,8,8,7,8.6
19010593,7.2,7,7.5,7,6.5,3
19010595,8.8,8.25,8.5,8.5,7.25,6.6
