SBD, Toan, Van, Ly, Hoa, Sinh, Anh
19000538,9,6.75,7.25,8.75,4,8.2
19000539,6.6,6.5,5.75,5.75,4.5,7.2
19000540,5.8,6.75,5.5,3.5,3.5,8.4
19000541,8.4,6.75,5.25,9,9.75,9
19000542,8.8,7,8.25,6,6,9
19000543,7.4,5.75,5.75,7.25,4.75,8.4
19000544,8,5.25,7.5,7.25,2.25,5.4
19000549,8.2,7,7,4,4.25,9.6
19000550,8.6,6,7.5,3.5,3.5,9.6
19000551,8,5,7,3.25,4.25,8.8
19000552,8.6,7,8.75,4.5,3.25,9.8
19000553,8,8,7,5.25,3.25,9.4
19000554,8,7.25,8.25,8.25,4.25,9.6
19000555,7.8,6.25,8,9.25,2.75,7.4
19000556,8.4,6.25,7.25,5.25,3.75,8.8
19000557,8.2,6.5,7.5,7.75,2.5,8
19000558,7.6,7.5,5.75,3.5,3.5,8.6
19000559,7.8,6.25,7,3.25,4.25,9.8
19000561,8.4,5,8.75,8.25,3.75,8
19000563,7.2,4.5,6.25,3,3.25,9.6
19000564,8.4,7,8.5,3.5,5.75,9.6
19000566,8.2,6.75,8.5,8.25,4.75,8.2
19000567,8.6,5.25,6.5,6.75,4.5,9
19000569,8.6,8.5,8.5,4.75,6.25,9.4
19000572,8.2,5.75,7,4.75,4.75,8.4
19000573,8.4,6,7,7.25,4.5,5.8
19000575,8.6,5,8,3.5,5,9.4
19000576,8.8,7,7.75,4.25,5,9.2
19000577,8.2,6,8.25,7.25,4.5,6.4
19000578,9,4.25,7.75,3.75,5.25,9
19000579,7,4.5,5.75,3.75,4.5,8.4
19000580,9.4,4.5,7.75,5.25,2.75,9.2
19000582,8.6,6,8.75,7.5,3.5,7
19000583,8,6.75,6.75,6,4.75,8.2
19000585,8.6,7.5,7.5,5.25,3.75,9.8
19000586,8.8,7.5,7.75,5.75,4.25,9.8
19000587,8.4,6.75,7.5,7.5,5,8.4
19000588,9.6,7.25,8.25,6.5,6.25,9.4
19000589,8.4,6.75,5.25,7.75,5.25,9
19000590,9.2,5.5,8.5,3.75,4.75,9.8
19000591,8.2,5,6.25,7.75,3.5,3.2
19000592,9.2,6.5,8.5,3.5,4.25,9.6
19000593,8.8,7.75,7.75,9.25,6.5,8.8
19000594,8.2,5,7.5,8,3,8.6
19000597,9.6,7,9.25,8,8,9.6
19000598,9.2,8.25,8.5,6.75,6.5,9.6
19000599,8.6,6,8,3.75,4,9.8
19000602,8.2,6,7.75,4.5,5,9.2
19000603,9.2,3.5,7.5,3.5,3.5,9.6
19000604,8.4,6.25,8,7.5,4.75,9
19000605,8.8,5.5,7.25,8.25,3.5,4
19000606,8,5,5.25,4.75,3.75,5.2
19000608,7.8,6.75,4.5,2.5,5.25,8.8
19000609,9,7.25,7.75,7.5,4.75,8.6
19000610,7.8,7,5,4,2.75,6.8
19000611,8.8,7,6.25,7.5,3.75,7.6
19000617,8.6,4.25,8,5.25,5.5,9.6
19000621,8.4,7.5,8.25,8.75,6.25,7
19000622,8.2,7.5,8,5.75,3.5,9.6
19000623,8.8,8.25,8.25,5.25,6.25,10
19000626,8.2,7.25,7.75,9.5,4.5,8.4
19000627,8.4,6.75,7.75,8.75,4.5,8.4
19000628,8.4,7.5,8,8.25,4.5,3.8
19000630,8.4,7,7.25,7,4.5,8.8
